userid,gender,age,occupation,zipcode,age_desc,occ_desc
1472,M,25,7,90248,25-34,executive/managerial
1473,M,25,14,6511,25-34,sales/marketing
1474,M,25,4,98115,25-34,college/grad student
1475,F,25,2,75075,25-34,artist
1476,F,18,0,91030,18-24,other or not specified
1477,F,45,1,90601,45-49,academic/educator
1478,M,1,10,92620,Under 18,K-12 student
1479,F,50,2,94501,50-55,artist
1480,M,25,20,91367,25-34,writer
1481,M,35,17,77096,35-44,technician/engineer
1482,M,25,7,94132,25-34,executive/managerial
1483,M,18,4,54481,18-24,college/grad student
1484,M,25,12,7054,25-34,programmer
1485,F,25,9,80538,25-34,homemaker
1486,M,25,16,90638,25-34,self-employed
1487,M,35,7,7644,35-44,executive/managerial
1488,M,25,7,94538,25-34,executive/managerial
1489,F,35,2,60201,35-44,artist
1490,M,50,7,90505,50-55,executive/managerial
1491,M,18,4,6511,18-24,college/grad student
1492,M,25,12,98102,25-34,programmer
1493,F,25,14,60657,25-34,sales/marketing
1494,M,25,17,38104,25-34,technician/engineer
1495,M,18,0,77341,18-24,other or not specified
1496,M,25,17,94108,25-34,technician/engineer
1497,M,50,5,80220,50-55,customer service
1498,M,18,4,2139,18-24,college/grad student
1499,M,1,10,19343,Under 18,K-12 student
1500,M,25,17,98115,25-34,technician/engineer
1501,M,25,11,75801,25-34,lawyer
1502,M,18,4,12188,18-24,college/grad student
1503,M,25,12,92688,25-34,programmer
1504,M,18,19,22030,18-24,unemployed
1505,M,50,11,90041,50-55,lawyer
1506,M,25,7,8550,25-34,executive/managerial
1507,M,35,17,95476,35-44,technician/engineer
1508,F,1,10,94539,Under 18,K-12 student
1509,M,1,0,11803,Under 18,other or not specified
1510,F,25,1,48067,25-34,academic/educator
1511,M,35,12,8902,35-44,programmer
1512,M,25,20,11102,25-34,writer
1513,F,35,16,95003,35-44,self-employed
1514,M,18,4,97215,18-24,college/grad student
1515,M,25,16,48324,25-34,self-employed
1516,F,25,12,53154,25-34,programmer
1517,M,18,0,10002,18-24,other or not specified
1518,M,25,2,95831,25-34,artist
1519,M,18,4,38120,18-24,college/grad student
1520,M,25,17,94506,25-34,technician/engineer
1521,F,25,7,8902,25-34,executive/managerial
1522,M,35,20,10025,35-44,writer
1523,M,25,17,95209,25-34,technician/engineer
1524,M,18,4,6459,18-24,college/grad student
1525,F,25,16,94706,25-34,self-employed
1526,M,56,17,80538,56+,technician/engineer
1527,M,18,10,78230,18-24,K-12 student
1528,M,25,15,94903,25-34,scientist
1529,M,18,4,97266,18-24,college/grad student
1530,M,25,4,53711,25-34,college/grad student
1531,M,45,17,60462,45-49,technician/engineer
1532,M,18,14,43613,18-24,sales/marketing
1533,M,45,1,71711,45-49,academic/educator
1534,M,50,12,12184,50-55,programmer
1535,F,18,20,90036,18-24,writer
1536,F,35,3,83001,35-44,clerical/admin
1537,M,18,20,2446,18-24,writer
1538,M,25,3,22601,25-34,clerical/admin
1539,M,25,3,2359,25-34,clerical/admin
1540,M,45,0,97214,45-49,other or not specified
1541,M,56,17,23464-3016,56+,technician/engineer
1542,M,18,17,12054,18-24,technician/engineer
1543,M,25,11,10549,25-34,lawyer
1544,M,25,12,63146,25-34,programmer
1545,M,25,20,20009,25-34,writer
1546,M,25,4,22903,25-34,college/grad student
1547,M,56,13,2115,56+,retired
1548,M,35,1,53703,35-44,academic/educator
1549,M,35,6,20901,35-44,doctor/health care
1550,M,18,4,11580,18-24,college/grad student
1551,M,25,11,20008,25-34,lawyer
1552,M,45,20,10021,45-49,writer
1553,F,25,15,64116,25-34,scientist
1554,F,35,12,17013,35-44,programmer
1555,F,18,0,20008,18-24,other or not specified
1556,M,18,4,48073,18-24,college/grad student
1557,F,18,4,10039,18-24,college/grad student
1558,M,18,6,60611,18-24,doctor/health care
1559,M,35,8,10014,35-44,farmer
1560,F,25,3,85226,25-34,clerical/admin
1561,F,18,4,11214,18-24,college/grad student
1562,M,18,20,43611,18-24,writer
1563,F,1,10,87123,Under 18,K-12 student
1564,M,50,1,1096,50-55,academic/educator
1565,M,45,17,78731,45-49,technician/engineer
1566,M,35,16,77550,35-44,self-employed
1567,M,25,12,6511,25-34,programmer
1568,F,1,10,94086,Under 18,K-12 student
1569,F,56,13,7701,56+,retired
1570,M,18,17,75093,18-24,technician/engineer
1571,M,25,20,98033,25-34,writer
1572,F,25,3,2155,25-34,clerical/admin
1573,M,1,0,77479,Under 18,other or not specified
1574,M,25,6,81007,25-34,doctor/health care
1575,F,50,7,94949,50-55,executive/managerial
1576,F,45,9,85202,45-49,homemaker
1577,M,56,0,72227-5733,56+,other or not specified
1578,M,18,4,22201,18-24,college/grad student
1579,M,25,0,60201,25-34,other or not specified
1580,F,18,4,76201,18-24,college/grad student
1581,F,18,4,10003,18-24,college/grad student
1582,M,18,0,10705,18-24,other or not specified
1583,M,35,6,94115,35-44,doctor/health care
1584,M,25,19,45701,25-34,unemployed
1585,M,56,20,92315,56+,writer
1586,M,45,7,77351,45-49,executive/managerial
1587,F,25,3,30308,25-34,clerical/admin
1588,M,25,11,22043,25-34,lawyer
1589,M,25,0,95136,25-34,other or not specified
1590,M,35,1,95003,35-44,academic/educator
1591,M,50,7,26501,50-55,executive/managerial
1592,M,35,7,50111,35-44,executive/managerial
1593,M,25,16,78411,25-34,self-employed
1594,F,35,20,10013,35-44,writer
1595,M,35,1,92683-1892,35-44,academic/educator
1596,F,18,5,48108,18-24,customer service
1597,M,25,12,10002,25-34,programmer
1598,M,35,13,76548,35-44,retired
1599,M,25,0,92646,25-34,other or not specified
1600,M,35,7,8234,35-44,executive/managerial
1601,M,25,12,83001,25-34,programmer
1602,F,25,7,10562,25-34,executive/managerial
1603,F,25,0,13326,25-34,other or not specified
1604,M,25,11,50111,25-34,lawyer
1605,F,18,0,28270,18-24,other or not specified
1606,F,35,3,55405,35-44,clerical/admin
1607,M,45,1,2135,45-49,academic/educator
1608,M,25,11,75230,25-34,lawyer
1609,F,35,9,6830,35-44,homemaker
1610,M,25,11,55555,25-34,lawyer
1611,M,25,0,3867,25-34,other or not specified
1612,M,25,17,11354,25-34,technician/engineer
1613,M,18,20,61801,18-24,writer
1614,M,35,0,90027,35-44,other or not specified
1615,F,45,7,10022,45-49,executive/managerial
1616,M,25,0,16101,25-34,other or not specified
1617,M,25,12,44060,25-34,programmer
1618,M,50,0,44139,50-55,other or not specified
1619,M,50,3,48843,50-55,clerical/admin
1620,M,25,20,48009,25-34,writer
1621,M,25,4,11423,25-34,college/grad student
1622,M,18,4,53715,18-24,college/grad student
1623,M,50,15,7746,50-55,scientist
1624,M,25,0,6810,25-34,other or not specified
1625,M,45,0,4330,45-49,other or not specified
1626,M,18,4,10010,18-24,college/grad student
1627,M,18,17,91505,18-24,technician/engineer
1628,M,18,20,90028,18-24,writer
1629,M,18,4,10003,18-24,college/grad student
1630,M,45,17,91355,45-49,technician/engineer
1631,F,50,0,94514,50-55,other or not specified
1632,M,25,16,94120,25-34,self-employed
1633,F,45,7,99701,45-49,executive/managerial
1634,F,56,0,38340,56+,other or not specified
1635,M,25,0,97212,25-34,other or not specified
1636,F,25,19,60612,25-34,unemployed
1637,M,56,0,90049,56+,other or not specified
1638,F,18,17,95405,18-24,technician/engineer
1639,M,25,17,95405,25-34,technician/engineer
1640,M,35,17,95610,35-44,technician/engineer
1641,M,25,0,95819,25-34,other or not specified
1642,M,50,13,62002,50-55,retired
1643,M,45,2,90813,45-49,artist
1644,M,18,12,90210,18-24,programmer
1645,F,18,9,62225,18-24,homemaker
1646,M,25,20,90046,25-34,writer
1647,M,18,18,98118,18-24,tradesman/craftsman
1648,M,50,14,85202,50-55,sales/marketing
1649,M,18,19,98034,18-24,unemployed
1650,M,25,19,94607,25-34,unemployed
1651,M,25,12,94520,25-34,programmer
1652,M,25,16,98208,25-34,self-employed
1653,M,18,0,94044,18-24,other or not specified
1654,F,45,0,94114,45-49,other or not specified
1655,M,18,4,94507,18-24,college/grad student
1656,M,25,17,94122,25-34,technician/engineer
1657,F,45,0,10022,45-49,other or not specified
1658,F,35,6,94214,35-44,doctor/health care
1659,F,18,9,99703,18-24,homemaker
1660,F,25,2,94577,25-34,artist
1661,M,35,7,80526,35-44,executive/managerial
1662,M,25,12,94121,25-34,programmer
1663,M,18,4,77845,18-24,college/grad student
1664,F,18,4,76707,18-24,college/grad student
1665,M,45,17,87505,45-49,technician/engineer
1666,M,25,14,15241,25-34,sales/marketing
1667,M,50,16,98516,50-55,self-employed
1668,M,35,2,95602,35-44,artist
1669,F,25,17,75006,25-34,technician/engineer
1670,F,56,13,95320,56+,retired
1671,M,35,0,98368,35-44,other or not specified
1672,M,25,17,93933,25-34,technician/engineer
1673,M,1,10,98043-3621,Under 18,K-12 student
1674,M,35,2,95816,35-44,artist
1675,F,25,6,97116,25-34,doctor/health care
1676,M,18,4,91301,18-24,college/grad student
1677,M,18,14,97123,18-24,sales/marketing
1678,F,18,17,97070,18-24,technician/engineer
1679,M,25,12,98052,25-34,programmer
1680,M,25,20,95380,25-34,writer
1681,M,18,4,78705,18-24,college/grad student
1682,M,25,2,98102,25-34,artist
1683,F,25,7,98109,25-34,executive/managerial
1684,M,18,3,85226,18-24,clerical/admin
1685,M,35,12,95833,35-44,programmer
1686,M,35,12,94062,35-44,programmer
1687,M,25,3,85013,25-34,clerical/admin
1688,F,18,4,34243,18-24,college/grad student
1689,M,35,5,98465,35-44,customer service
1690,M,35,16,98029,35-44,self-employed
1691,F,25,17,85301,25-34,technician/engineer
1692,M,35,20,97333,35-44,writer
1693,M,25,12,98684,25-34,programmer
1694,M,25,12,98116,25-34,programmer
1695,M,25,1,97206,25-34,academic/educator
1696,M,35,7,95765,35-44,executive/managerial
1697,F,18,4,98052,18-24,college/grad student
1698,M,35,2,97214,35-44,artist
1699,F,25,19,98102,25-34,unemployed
1700,M,25,20,98119,25-34,writer
1701,F,25,4,97233,25-34,college/grad student
1702,M,18,10,97303,18-24,K-12 student
1703,M,18,15,77047,18-24,scientist
1704,M,25,4,98926,25-34,college/grad student
1705,F,18,4,85033,18-24,college/grad student
1706,M,25,20,19134,25-34,writer
1707,M,50,1,95070,50-55,academic/educator
1708,M,25,0,64106,25-34,other or not specified
1709,M,25,0,73147,25-34,other or not specified
1710,M,18,0,94530,18-24,other or not specified
1711,F,18,4,30134,18-24,college/grad student
1712,M,25,0,73003,25-34,other or not specified
1713,M,25,0,47421,25-34,other or not specified
1714,M,25,17,43212,25-34,technician/engineer
1715,M,25,16,53406,25-34,self-employed
1716,M,25,0,43229,25-34,other or not specified
1717,F,50,6,30307,50-55,doctor/health care
1718,M,18,4,43235,18-24,college/grad student
1719,M,18,16,60523,18-24,self-employed
1720,M,18,4,94720,18-24,college/grad student
1721,M,18,19,70043,18-24,unemployed
1722,M,35,0,72058,35-44,other or not specified
1723,M,35,17,60103,35-44,technician/engineer
1724,M,18,4,961,18-24,college/grad student
1725,M,18,19,67218,18-24,unemployed
1726,M,25,2,60160,25-34,artist
1727,M,35,16,50317,35-44,self-employed
1728,M,18,4,11710-1641,18-24,college/grad student
1729,M,25,7,53715,25-34,executive/managerial
1730,F,18,4,60137,18-24,college/grad student
1731,F,18,0,91601,18-24,other or not specified
1732,M,18,4,13655,18-24,college/grad student
1733,M,18,14,43725,18-24,sales/marketing
1734,M,45,17,94602,45-49,technician/engineer
1735,M,18,20,30605,18-24,writer
1736,M,56,8,606,56+,farmer
1737,M,35,20,46614,35-44,writer
1738,M,35,16,30034,35-44,self-employed
1739,M,56,16,77079,56+,self-employed
1740,M,56,1,96153,56+,academic/educator
1741,M,35,7,91107,35-44,executive/managerial
1742,M,25,15,8109,25-34,scientist
1743,M,35,17,77566,35-44,technician/engineer
1744,M,35,12,50325,35-44,programmer
1745,M,45,0,94114,45-49,other or not specified
1746,M,25,4,33157,25-34,college/grad student
1747,M,25,0,90638,25-34,other or not specified
1748,M,50,1,4240,50-55,academic/educator
1749,M,25,2,10040,25-34,artist
1750,M,50,5,10128,50-55,customer service
1751,M,35,20,77024,35-44,writer
1752,M,25,3,96813,25-34,clerical/admin
1753,M,35,6,90803,35-44,doctor/health care
1754,M,18,19,27028,18-24,unemployed
1755,F,18,4,77005,18-24,college/grad student
1756,F,25,1,75149,25-34,academic/educator
1757,M,25,4,75206,25-34,college/grad student
1758,F,25,0,33067-1400,25-34,other or not specified
1759,M,25,16,22112,25-34,self-employed
1760,F,25,3,90016,25-34,clerical/admin
1761,M,35,0,72058,35-44,other or not specified
1762,M,25,14,75230,25-34,sales/marketing
1763,M,35,7,76248,35-44,executive/managerial
1764,M,18,0,75149,18-24,other or not specified
1765,M,18,4,13655,18-24,college/grad student
1766,F,45,0,94566,45-49,other or not specified
1767,M,25,20,75205,25-34,writer
1768,M,45,16,75067,45-49,self-employed
1769,M,25,17,75240,25-34,technician/engineer
1770,M,35,16,79605,35-44,self-employed
1771,M,25,17,75044,25-34,technician/engineer
1772,M,56,2,90680,56+,artist
1773,M,18,4,7030,18-24,college/grad student
1774,M,25,17,99003,25-34,technician/engineer
1775,M,25,4,70115,25-34,college/grad student
1776,M,25,0,45801,25-34,other or not specified
1777,M,25,20,17022,25-34,writer
1778,M,18,4,94704,18-24,college/grad student
1779,M,18,1,78133,18-24,academic/educator
1780,M,35,1,22181,35-44,academic/educator
1781,F,35,0,8009,35-44,other or not specified
1782,M,45,0,23454,45-49,other or not specified
1783,M,18,4,10027,18-24,college/grad student
1784,M,18,20,18104,18-24,writer
1785,M,18,4,4901,18-24,college/grad student
1786,M,45,1,85721,45-49,academic/educator
1787,M,18,8,90210,18-24,farmer
1788,M,45,2,19104,45-49,artist
1789,M,1,10,19116,Under 18,K-12 student
1790,M,25,0,19152,25-34,other or not specified
1791,M,18,4,19146,18-24,college/grad student
1792,F,25,2,53523,25-34,artist
1793,M,25,4,20008,25-34,college/grad student
1794,M,25,11,20878,25-34,lawyer
1795,M,18,17,20724,18-24,technician/engineer
1796,M,50,11,20852,50-55,lawyer
1797,M,35,7,52003,35-44,executive/managerial
1798,M,45,11,22204,45-49,lawyer
1799,M,35,11,70118,35-44,lawyer
1800,M,18,4,70118,18-24,college/grad student
1801,F,25,6,54729,25-34,doctor/health care
1802,M,18,4,22903,18-24,college/grad student
1803,M,25,2,50021,25-34,artist
1804,M,25,7,22314,25-34,executive/managerial
1805,M,18,4,22401,18-24,college/grad student
1806,M,18,4,22032,18-24,college/grad student
1807,M,18,17,20742,18-24,technician/engineer
1808,F,18,4,22031,18-24,college/grad student
1809,F,25,14,12189,25-34,sales/marketing
1810,M,50,13,90210,50-55,retired
1811,M,56,2,8825,56+,artist
1812,F,25,12,48103,25-34,programmer
1813,F,35,6,90035,35-44,doctor/health care
1814,M,50,7,10014,50-55,executive/managerial
1815,M,1,1,30707,Under 18,academic/educator
1816,F,35,9,56007,35-44,homemaker
1817,M,35,1,53706,35-44,academic/educator
1818,M,1,8,2254,Under 18,farmer
1819,F,35,12,45249,35-44,programmer
1820,M,25,20,50265,25-34,writer
1821,M,25,20,43315,25-34,writer
1822,F,25,0,53713,25-34,other or not specified
1823,F,35,1,92801,35-44,academic/educator
1824,F,18,4,43560,18-24,college/grad student
1825,M,25,7,50310,25-34,executive/managerial
1826,M,45,11,49265,45-49,lawyer
1827,F,25,1,7721,25-34,academic/educator
1828,M,18,4,7030,18-24,college/grad student
1829,M,25,16,7302,25-34,self-employed
1830,M,18,4,12180,18-24,college/grad student
1831,M,18,4,53190,18-24,college/grad student
1832,F,18,4,14433,18-24,college/grad student
1833,M,18,17,7030,18-24,technician/engineer
1834,M,35,5,10990,35-44,customer service
1835,M,25,19,11501,25-34,unemployed
1836,M,25,0,10016,25-34,other or not specified
1837,M,25,2,8817,25-34,artist
1838,M,35,7,10011,35-44,executive/managerial
1839,M,18,4,7940,18-24,college/grad student
1840,M,25,12,11217,25-34,programmer
1841,M,18,0,95037,18-24,other or not specified
1842,M,18,4,53190,18-24,college/grad student
1843,M,25,12,10014,25-34,programmer
1844,F,18,4,53711,18-24,college/grad student
1845,M,25,2,10002,25-34,artist
1846,M,45,12,95051,45-49,programmer
1847,M,18,4,60047,18-24,college/grad student
1848,M,35,5,10011,35-44,customer service
1849,M,35,7,11747,35-44,executive/managerial
1850,M,18,5,12582,18-24,customer service
1851,M,25,19,59602,25-34,unemployed
1852,M,25,12,10036,25-34,programmer
1853,M,50,0,90803,50-55,other or not specified
1854,M,25,0,92346,25-34,other or not specified
1855,M,18,4,93004,18-24,college/grad student
1856,M,56,7,92065,56+,executive/managerial
1857,M,1,10,92106,Under 18,K-12 student
1858,F,18,4,59715,18-24,college/grad student
1859,F,25,4,66049,25-34,college/grad student
1860,M,56,16,94591,56+,self-employed
1861,M,50,16,92129,50-55,self-employed
1862,M,50,14,95129,50-55,sales/marketing
1863,M,18,4,90048,18-24,college/grad student
1864,M,35,7,94306,35-44,executive/managerial
1865,F,18,1,94606,18-24,academic/educator
1866,M,25,7,94043,25-34,executive/managerial
1867,M,50,7,95008,50-55,executive/managerial
1868,M,50,11,92346,50-55,lawyer
1869,M,45,14,95148,45-49,sales/marketing
1870,M,56,13,85248,56+,retired
1871,F,45,1,46774,45-49,academic/educator
1872,M,50,20,92106,50-55,writer
1873,M,35,7,2127,35-44,executive/managerial
1874,M,45,7,95076,45-49,executive/managerial
1875,M,35,12,94107,35-44,programmer
1876,M,25,12,92024,25-34,programmer
1877,F,45,20,90069,45-49,writer
1878,M,1,10,92846,Under 18,K-12 student
1879,M,25,4,29732,25-34,college/grad student
1880,M,35,0,91006,35-44,other or not specified
1881,M,35,2,95008,35-44,artist
1882,M,35,16,92352,35-44,self-employed
1883,F,50,0,94521,50-55,other or not specified
1884,M,45,20,93108,45-49,writer
1885,M,50,17,94611,50-55,technician/engineer
1886,M,25,12,94086,25-34,programmer
1887,M,56,15,92119,56+,scientist
1888,M,35,12,95124,35-44,programmer
1889,M,18,14,80023,18-24,sales/marketing
1890,M,50,6,94702,50-55,doctor/health care
1891,M,45,1,91335,45-49,academic/educator
1892,M,25,20,90066,25-34,writer
1893,F,35,0,90024,35-44,other or not specified
1894,F,35,7,94602,35-44,executive/managerial
1895,M,35,14,89119,35-44,sales/marketing
1896,M,56,13,92115,56+,retired
1897,F,50,2,94530,50-55,artist
1898,M,25,12,91101,25-34,programmer
1899,F,45,6,2135,45-49,doctor/health care
1900,M,56,12,94109,56+,programmer
1901,M,50,7,94024,50-55,executive/managerial
1902,M,25,19,93536,25-34,unemployed
1903,M,35,0,90401,35-44,other or not specified
1904,M,18,1,30115,18-24,academic/educator
1905,F,35,20,94118,35-44,writer
1906,F,25,5,91311,25-34,customer service
1907,M,35,17,94804,35-44,technician/engineer
1908,M,56,13,95129,56+,retired
1909,M,18,4,89146,18-24,college/grad student
1910,M,1,10,94707,Under 18,K-12 student
1911,F,18,4,92805,18-24,college/grad student
1912,M,25,4,91325,25-34,college/grad student
1913,M,25,17,95126,25-34,technician/engineer
1914,F,35,14,95051,35-44,sales/marketing
1915,M,50,13,1938,50-55,retired
1916,M,45,7,90405,45-49,executive/managerial
1917,M,18,10,92704,18-24,K-12 student
1918,F,45,6,95209,45-49,doctor/health care
1919,M,1,0,94525,Under 18,other or not specified
1920,F,35,7,80122,35-44,executive/managerial
1921,M,56,12,92780,56+,programmer
1922,F,25,7,94303,25-34,executive/managerial
1923,M,35,7,90026,35-44,executive/managerial
1924,F,56,6,90630,56+,doctor/health care
1925,M,50,7,92886,50-55,executive/managerial
1926,F,1,0,95404,Under 18,other or not specified
1927,M,35,7,94806,35-44,executive/managerial
1928,M,1,10,94501,Under 18,K-12 student
1929,F,1,10,91107,Under 18,K-12 student
1930,M,25,15,94550,25-34,scientist
1931,M,25,2,94114,25-34,artist
1932,M,25,7,94114,25-34,executive/managerial
1933,M,18,19,94703,18-24,unemployed
1934,M,25,17,95014,25-34,technician/engineer
1935,M,1,10,90405,Under 18,K-12 student
1936,M,35,0,90026,35-44,other or not specified
1937,M,25,11,92335,25-34,lawyer
1938,F,25,2,91351,25-34,artist
1939,F,35,2,94930,35-44,artist
1940,M,25,12,95158,25-34,programmer
1941,M,35,17,94550,35-44,technician/engineer
1942,M,35,5,4901,35-44,customer service
1943,M,18,4,91501,18-24,college/grad student
1944,F,18,4,93107,18-24,college/grad student
1945,M,25,20,92866,25-34,writer
1946,M,25,14,94110,25-34,sales/marketing
1947,M,25,7,94041,25-34,executive/managerial
1948,M,1,10,93111,Under 18,K-12 student
1949,M,18,17,92595,18-24,technician/engineer
1950,M,25,12,49024,25-34,programmer
1951,F,18,4,90630,18-24,college/grad student
1952,M,35,1,91030,35-44,academic/educator
1953,F,25,2,94566,25-34,artist
1954,M,25,16,91402,25-34,self-employed
1955,M,1,19,3109,Under 18,unemployed
1956,M,35,0,44280,35-44,other or not specified
1957,F,18,4,23185,18-24,college/grad student
1958,F,25,1,17055,25-34,academic/educator
1959,F,50,13,53092,50-55,retired
1960,M,45,7,55555,45-49,executive/managerial
1961,F,50,3,91911,50-55,clerical/admin
1962,F,18,1,60914,18-24,academic/educator
1963,F,50,9,91941,50-55,homemaker
1964,F,25,6,89523,25-34,doctor/health care
1965,M,56,17,48304,56+,technician/engineer
1966,M,25,20,93637,25-34,writer
1967,M,50,7,92116,50-55,executive/managerial
1968,M,25,11,85258,25-34,lawyer
1969,F,25,3,92116,25-34,clerical/admin
1970,M,50,13,89052,50-55,retired
1971,F,25,14,80230,25-34,sales/marketing
1972,M,45,17,92111,45-49,technician/engineer
1973,M,25,1,22903,25-34,academic/educator
1974,M,35,17,12159,35-44,technician/engineer
1975,M,18,4,97361,18-24,college/grad student
1976,M,35,5,58703,35-44,customer service
1977,M,56,6,2726,56+,doctor/health care
1978,M,1,10,43357,Under 18,K-12 student
1979,M,56,17,49506,56+,technician/engineer
1980,M,35,7,6460,35-44,executive/managerial
1981,M,56,1,80303,56+,academic/educator
1982,M,1,10,80540,Under 18,K-12 student
1983,M,25,14,92109,25-34,sales/marketing
1984,M,18,10,92130,18-24,K-12 student
1985,M,45,12,92122,45-49,programmer
1986,M,50,13,91977,50-55,retired
1987,M,25,17,62629,25-34,technician/engineer
1988,F,25,1,85224,25-34,academic/educator
1989,M,50,6,2090,50-55,doctor/health care
1990,M,25,7,85257,25-34,executive/managerial
1991,M,25,20,48309,25-34,writer
1992,M,18,4,85259,18-24,college/grad student
1993,M,35,17,99508,35-44,technician/engineer
1994,M,35,2,89012,35-44,artist
1995,M,25,1,85364,25-34,academic/educator
1996,M,35,0,85621,35-44,other or not specified
1997,M,25,0,84108,25-34,other or not specified
1998,F,50,9,24018,50-55,homemaker
1999,F,35,3,2113,35-44,clerical/admin
2000,M,18,4,44685,18-24,college/grad student
2001,M,50,1,48197,50-55,academic/educator
2002,F,56,13,02136-1522,56+,retired
2003,M,1,10,80014,Under 18,K-12 student
2004,M,45,19,53572,45-49,unemployed
2005,M,18,4,58601,18-24,college/grad student
2006,M,35,0,66048,35-44,other or not specified
2007,M,50,16,80442,50-55,self-employed
2008,M,25,3,48220,25-34,clerical/admin
2009,F,35,7,60625,35-44,executive/managerial
2010,M,18,4,81520,18-24,college/grad student
2011,F,35,3,1545,35-44,clerical/admin
2012,M,25,4,49456,25-34,college/grad student
2013,M,45,0,60543,45-49,other or not specified
2014,M,18,4,53233,18-24,college/grad student
2015,M,18,4,1003,18-24,college/grad student
2016,F,56,2,20783,56+,artist
2017,M,25,17,35808,25-34,technician/engineer
2018,M,35,16,46214,35-44,self-employed
2019,M,50,1,27705,50-55,academic/educator
2020,M,25,7,45011,25-34,executive/managerial
2021,M,25,0,61364,25-34,other or not specified
2022,M,25,7,60137,25-34,executive/managerial
2023,M,18,4,56001,18-24,college/grad student
2024,M,1,19,6614,Under 18,unemployed
2025,M,56,13,3440,56+,retired
2026,M,50,16,49277,50-55,self-employed
2027,F,25,9,48021,25-34,homemaker
2028,M,45,6,44131,45-49,doctor/health care
2029,F,25,12,10011,25-34,programmer
2030,M,25,4,77345,25-34,college/grad student
2031,M,35,20,60640,35-44,writer
2032,M,50,14,44614,50-55,sales/marketing
2033,F,45,20,91436,45-49,writer
2034,F,45,2,1851,45-49,artist
2035,F,18,0,45212,18-24,other or not specified
2036,F,25,14,90046,25-34,sales/marketing
2037,M,56,14,2468,56+,sales/marketing
2038,F,45,1,33301,45-49,academic/educator
2039,M,50,16,60060,50-55,self-employed
2040,F,25,7,2494,25-34,executive/managerial
2041,F,25,20,24015,25-34,writer
2042,M,1,10,79358,Under 18,K-12 student
2043,M,25,14,37931,25-34,sales/marketing
2044,F,45,0,49408,45-49,other or not specified
2045,F,1,0,24179,Under 18,other or not specified
2046,M,35,1,91711,35-44,academic/educator
2047,M,1,10,6437,Under 18,K-12 student
2048,M,50,6,49456,50-55,doctor/health care
2049,F,50,0,13210,50-55,other or not specified
2050,F,35,3,99504,35-44,clerical/admin
2051,M,35,7,93906,35-44,executive/managerial
2052,M,1,10,46033,Under 18,K-12 student
2053,M,45,11,6416,45-49,lawyer
2054,M,25,12,3110,25-34,programmer
2055,M,50,11,49008,50-55,lawyer
2056,M,25,4,56301,25-34,college/grad student
2057,M,35,1,49417,35-44,academic/educator
2058,F,56,1,6437,56+,academic/educator
2059,M,35,0,44130,35-44,other or not specified
2060,M,1,1,48304,Under 18,academic/educator
2061,M,56,1,44107,56+,academic/educator
2062,M,18,4,44646,18-24,college/grad student
2063,M,25,4,43138,25-34,college/grad student
2064,M,35,1,1020,35-44,academic/educator
2065,M,25,6,46807,25-34,doctor/health care
2066,F,25,6,53202,25-34,doctor/health care
2067,M,50,16,6430,50-55,self-employed
2068,F,35,12,43528,35-44,programmer
2069,M,56,15,79068,56+,scientist
2070,F,35,6,13210,35-44,doctor/health care
2071,M,45,7,1605,45-49,executive/managerial
2072,F,50,12,21133,50-55,programmer
2073,F,18,4,13148,18-24,college/grad student
2074,M,18,4,48197,18-24,college/grad student
2075,F,25,4,13210,25-34,college/grad student
2076,M,18,4,13165,18-24,college/grad student
2077,M,18,0,55112,18-24,other or not specified
2078,M,18,4,13323,18-24,college/grad student
2079,M,1,10,45241,Under 18,K-12 student
2080,M,25,11,37931,25-34,lawyer
2081,M,18,17,49445,18-24,technician/engineer
2082,M,1,19,48323,Under 18,unemployed
2083,M,18,4,64920,18-24,college/grad student
2084,M,18,4,23186,18-24,college/grad student
2085,M,18,0,6360,18-24,other or not specified
2086,M,35,14,48328,35-44,sales/marketing
2087,M,25,0,37923-3112,25-34,other or not specified
2088,M,50,7,60618,50-55,executive/managerial
2089,M,35,17,17601,35-44,technician/engineer
2090,M,35,17,48313,35-44,technician/engineer
2091,F,35,20,48044,35-44,writer
2092,M,56,1,49006,56+,academic/educator
2093,M,18,0,48322,18-24,other or not specified
2094,M,35,2,60061,35-44,artist
2095,M,56,13,58504,56+,retired
2096,F,25,17,33990,25-34,technician/engineer
2097,M,18,5,48504,18-24,customer service
2098,M,35,20,48067,35-44,writer
2099,F,18,0,48823,18-24,other or not specified
2100,F,25,0,24017,25-34,other or not specified
2101,M,25,16,48309,25-34,self-employed
2102,M,25,11,48825,25-34,lawyer
2103,M,35,12,3062,35-44,programmer
2104,M,45,15,60035,45-49,scientist
2105,M,25,1,24060,25-34,academic/educator
2106,F,18,20,495321,18-24,writer
2107,M,25,1,24060,25-34,academic/educator
2108,M,1,10,60462,Under 18,K-12 student
2109,M,25,16,13090,25-34,self-employed
2110,M,50,11,46802,50-55,lawyer
2111,M,56,13,32806,56+,retired
2112,F,45,12,23116,45-49,programmer
2113,M,25,6,4456,25-34,doctor/health care
2114,M,18,18,21740,18-24,tradesman/craftsman
2115,M,35,17,1519,35-44,technician/engineer
2116,M,18,4,49546,18-24,college/grad student
2117,M,56,13,49307,56+,retired
2118,M,25,14,2148,25-34,sales/marketing
